"","L_BayesSMf","L_DecaySMf","P_BayesUCB","P_DecaySMf","L_BayesUCB","L_BayesPI","P_BayesEI","P_BayesPI","P_BayesPMU","L_DeltaSMf","P_DeltaSMf","L_BayesEI","P_BayesSMf"
"N_AIC",0,2,9,29,1,10,0,0,14,0,13,0,1
"N_BIC",0,7,7,24,2,10,0,0,12,2,15,0,0
